Gene Name,Combinations,Diseases,ICD-10 ID,Partner Genes
CPO,OLI001,Hereditary coproporphyria,E80.2,ALAD; CPO
ALAD,OLI001,Hereditary coproporphyria,E80.2,ALAD; CPO
NOTCH3,OLI002,Idiopathic pulmonary arterial hypertension,I27.0,BMPR2; NOTCH3
BMPR2,OLI002,Idiopathic pulmonary arterial hypertension,I27.0,BMPR2; NOTCH3
NOTCH3,OLI003,Idiopathic pulmonary arterial hypertension,I27.0,BMPR2; NOTCH3
BMPR2,OLI003,Idiopathic pulmonary arterial hypertension,I27.0,BMPR2; NOTCH3
NOTCH3,OLI004,Idiopathic pulmonary arterial hypertension,I27.0,ABCC8; NOTCH3
ABCC8,OLI004,Idiopathic pulmonary arterial hypertension,I27.0,ABCC8; NOTCH3
ABCC8,OLI005,Pulmonary arterial hypertension associated with congenital heart disease,I27.2,ABCC8; SARS2
SARS2,OLI005,Pulmonary arterial hypertension associated with congenital heart disease,I27.2,ABCC8; SARS2
SMAD1,OLI006,Pulmonary arterial hypertension associated with congenital heart disease,I27.2,SMAD1; TBX4
TBX4,OLI006,Pulmonary arterial hypertension associated with congenital heart disease,I27.2,SMAD1; TBX4
ADD3,OLI007,Genetic steroid-resistant nephrotic syndrome,N04,ADD3; KAT2B
ADD3,OLI007,Microcephaly-cardiomyopathy syndrome,Q87.8,ADD3; KAT2B
KAT2B,OLI007,Genetic steroid-resistant nephrotic syndrome,N04,ADD3; KAT2B
KAT2B,OLI007,Microcephaly-cardiomyopathy syndrome,Q87.8,ADD3; KAT2B
SLC34A1,OLI008,Hereditary hypophosphatemic rickets with hypercalciuria,E83.3,SLC34A1; SLC34A3
SLC34A3,OLI008,Hereditary hypophosphatemic rickets with hypercalciuria,E83.3,SLC34A1; SLC34A3
TEK,OLI009,Congenital glaucoma,Q15.0,CYP1B1; TEK
CYP1B1,OLI009,Congenital glaucoma,Q15.0,CYP1B1; TEK
TEK,OLI010,Congenital glaucoma,Q15.0,CYP1B1; TEK
CYP1B1,OLI010,Congenital glaucoma,Q15.0,CYP1B1; TEK
TEK,OLI011,Congenital glaucoma,Q15.0,CYP1B1; TEK
CYP1B1,OLI011,Congenital glaucoma,Q15.0,CYP1B1; TEK
TEK,OLI012,Congenital glaucoma,Q15.0,CYP1B1; TEK
CYP1B1,OLI012,Congenital glaucoma,Q15.0,CYP1B1; TEK
GJB2,OLI013,Non-syndromic genetic deafness,H90.5,GJB2; TMPRSS3
TMPRSS3,OLI013,Non-syndromic genetic deafness,H90.5,GJB2; TMPRSS3
PROKR2,OLI014,Pituitary stalk interruption syndrome,E23.6,PROKR2; WDR11
WDR11,OLI014,Pituitary stalk interruption syndrome,E23.6,PROKR2; WDR11
ATP6V1B1,OLI015,Distal renal tubular acidosis,N25.8,ATP6V0A4; ATP6V1B1
ATP6V0A4,OLI015,Distal renal tubular acidosis,N25.8,ATP6V0A4; ATP6V1B1
ANO5,OLI016,Limb-girdle muscular dystrophy,G71.0,ANO5; COL6A2
COL6A2,OLI016,Limb-girdle muscular dystrophy,G71.0,ANO5; COL6A2
ANO5,OLI017,Limb-girdle muscular dystrophy,G71.0,ANO5; SGCA
SGCA,OLI017,Limb-girdle muscular dystrophy,G71.0,ANO5; SGCA
RNF216,OLI018,Congenital hypogonadotropic hypogonadism,E23.0,RNF216; SRA1
SRA1,OLI018,Congenital hypogonadotropic hypogonadism,E23.0,RNF216; SRA1
FGFR1,OLI019,Congenital hypogonadotropic hypogonadism,E23.0,FGFR1; POLR3A
POLR3A,OLI019,Congenital hypogonadotropic hypogonadism,E23.0,FGFR1; POLR3A
CHD7,OLI020,Congenital hypogonadotropic hypogonadism,E23.0,CHD7; PROP1
PROP1,OLI020,Congenital hypogonadotropic hypogonadism,E23.0,CHD7; PROP1
RET,OLI021,Hirschsprung disease,Q43.1,GDNF; RET
GDNF,OLI021,Hirschsprung disease,Q43.1,GDNF; RET
TIA1,OLI022,Distal myopathy,G71.0,SQSTM1; TIA1
SQSTM1,OLI022,Distal myopathy,G71.0,SQSTM1; TIA1
NRXN2,OLI023,Early infantile epileptic encephalopathy,G40.3,NRXN1; NRXN2
NRXN1,OLI023,Early infantile epileptic encephalopathy,G40.3,NRXN1; NRXN2
MSH6,OLI024,Lynch syndrome,D48.9,MSH6; MUTYH
MUTYH,OLI024,Lynch syndrome,D48.9,MSH6; MUTYH
STXBP2,OLI025,Primary hemophagocytic lymphohistiocytosis,N.A.,AIRE; IRF8; LRBA; LYST; STXBP2
AIRE,OLI025,Primary hemophagocytic lymphohistiocytosis,N.A.,AIRE; IRF8; LRBA; LYST; STXBP2
IRF8,OLI025,Primary hemophagocytic lymphohistiocytosis,N.A.,AIRE; IRF8; LRBA; LYST; STXBP2
LYST,OLI025,Primary hemophagocytic lymphohistiocytosis,N.A.,AIRE; IRF8; LRBA; LYST; STXBP2
LRBA,OLI025,Primary hemophagocytic lymphohistiocytosis,N.A.,AIRE; IRF8; LRBA; LYST; STXBP2
MEFV,OLI026,Autoinflammatory syndrome,N.A.,MEFV; TRAP1
TRAP1,OLI026,Autoinflammatory syndrome,N.A.,MEFV; TRAP1
GEN1,OLI027,Müllerian aplasia,N.A.,GEN1; WNT9B
WNT9B,OLI027,Müllerian aplasia,N.A.,GEN1; WNT9B
WNT9B,OLI028,Müllerian aplasia,N.A.,GEN1; WNT9B
GEN1,OLI028,Müllerian aplasia,N.A.,GEN1; WNT9B
GATA3,OLI029,Müllerian aplasia,N.A.,GATA3; TBX6
TBX6,OLI029,Müllerian aplasia,N.A.,GATA3; TBX6
FGA,OLI030,Congenital fibrinogen deficiency,D68.2,FGA; FGB
FGB,OLI030,Congenital fibrinogen deficiency,D68.2,FGA; FGB
DUOX2,OLI031,Congenital hypothyroidism,E00.9,DUOX2; TG; TPO
TG,OLI031,Congenital hypothyroidism,E00.9,DUOX2; TG; TPO
TPO,OLI031,Congenital hypothyroidism,E00.9,DUOX2; TG; TPO
DUOX2,OLI032,Congenital hypothyroidism,E00.9,DUOX1; DUOX2
DUOX1,OLI032,Congenital hypothyroidism,E00.9,DUOX1; DUOX2
COL4A5,OLI033,Alport syndrome,Q87.8,COL4A4; COL4A5
COL4A4,OLI033,Alport syndrome,Q87.8,COL4A4; COL4A5
COL4A4,OLI034,Alport syndrome,Q87.8,COL4A3; COL4A4
COL4A3,OLI034,Alport syndrome,Q87.8,COL4A3; COL4A4
EDNRB,OLI035,Hirschsprung disease,Q43.1,EDNRB; RET
RET,OLI035,Hirschsprung disease,Q43.1,EDNRB; RET
FGFR1,OLI036,Isolated congenital hypogonadotropic hypogonadism,E23.0,FGFR1; PROKR2
FGFR1,OLI036,Kallmann syndrome,E23.0,FGFR1; PROKR2
PROKR2,OLI036,Isolated congenital hypogonadotropic hypogonadism,E23.0,FGFR1; PROKR2
PROKR2,OLI036,Kallmann syndrome,E23.0,FGFR1; PROKR2
